CADBURY HISTORICAL DATA  (2018 - 2026)


 DATE           PRICE    OPEN   HIGH     LOW     VOL    CHANGE %
Jul 01, 2026	56.00	56.00	56.00	56.00	950.79K	0.00%
Jun 30, 2026	56.00	56.00	56.00	56.00	198.68K	0.00%
Jun 29, 2026	56.00	62.10	56.00	56.00	700.63K	-9.82%
Jun 26, 2026	62.10	62.10	62.10	62.10	810.89K	0.00%
Jun 25, 2026	62.10	62.10	62.10	62.10	521.39K	0.00%
Jun 24, 2026	62.10	62.10	62.10	62.10	177.88K	0.00%
Jun 23, 2026	62.10	62.10	62.10	62.10	295.22K	0.00%
Jun 22, 2026	62.10	62.10	62.10	62.10	540.91K	0.00%
Jun 19, 2026	62.10	62.10	62.10	62.10	566.85K	0.00%
Jun 18, 2026	62.10	69.00	62.10	62.10	963.48K	-10.00%
Jun 17, 2026	69.00	69.00	69.00	69.00	506.44K	0.00%
Jun 16, 2026	69.00	69.00	69.00	69.00	227.27K	0.00%
Jun 15, 2026	69.00	69.00	69.00	69.00	320.48K	0.00%
Jun 11, 2026	69.00	69.00	69.00	69.00	588.57K	0.00%
Jun 10, 2026	69.00	69.00	69.00	69.00	464.45K	0.00%
Jun 09, 2026	69.00	69.00	69.00	69.00	384.63K	0.00%
Jun 08, 2026	69.00	69.00	69.00	69.00	1.62M	0.00%
Jun 05, 2026	69.00	69.00	69.00	69.00	665.86K	0.00%
Jun 04, 2026	69.00	69.00	69.00	69.00	482.76K	0.00%
Jun 03, 2026	69.00	69.00	69.00	69.00	258.17K	0.00%
Jun 02, 2026	69.00	69.00	69.00	69.00	404.83K	0.00%
Jun 01, 2026	69.00	69.00	69.00	69.00	334.83K	0.00%
May 29, 2026	69.00	69.00	69.00	69.00	295.28K	0.00%
May 26, 2026	69.00	69.00	69.00	69.00	302.61K	0.00%
May 25, 2026	69.00	69.00	69.00	69.00	445.60K	0.00%
May 22, 2026	69.00	69.00	69.00	69.00	292.88K	0.00%
May 21, 2026	69.00	70.10	69.00	69.00	1.78M	-1.57%
May 20, 2026	70.10	70.10	70.10	70.10	669.42K	0.00%
May 19, 2026	70.10	70.90	70.10	68.00	1.25M	-1.13%
May 18, 2026	70.90	70.90	70.90	70.90	1.02M	0.00%
May 15, 2026	70.90	72.45	70.90	70.90	863.53K	-2.14%
May 14, 2026	72.45	72.60	72.45	68.70	1.47M	-0.21%
May 13, 2026	72.60	72.60	72.60	72.60	1.15M	0.00%
May 12, 2026	72.60	72.60	72.60	72.60	672.01K	0.00%
May 11, 2026	72.60	72.60	72.60	72.60	640.24K	0.00%
May 08, 2026	72.60	66.00	72.60	66.50	1.72M	+10.00%
May 07, 2026	66.00	66.00	66.00	66.00	479.97K	0.00%
May 06, 2026	66.00	66.00	66.00	66.00	660.74K	0.00%
May 05, 2026	66.00	65.35	66.00	66.00	1.20M	+0.99%
May 04, 2026	65.35	70.10	67.50	65.35	5.22M	-6.78%
