DANGOTE CEMENT HISTORICAL DATA (2018 - 2026)
date            price    open    high    low    vol      cnange %
Jul 24, 2026	1,027.00	1,034.00	1,035.00	1,015.10	191.69K	-0.68%
Jul 01, 2026	891.00	963.00	958.00	867.00	986.76K	-7.48%
Jun 30, 2026	963.00	963.00	963.00	963.00	765.05K	0.00%
Jun 29, 2026	963.00	963.00	963.00	963.00	1.05M	0.00%
Jun 26, 2026	963.00	963.00	963.00	963.00	1.34M	0.00%
Jun 25, 2026	963.00	963.00	963.00	963.00	1.00M	0.00%
Jun 24, 2026	963.00	1,070.00	963.00	963.00	490.11K	-10.00%
Jun 23, 2026	1,070.00	1,070.00	1,070.00	1,070.00	553.66K	0.00%
Jun 22, 2026	1,070.00	1,070.00	1,070.00	1,070.00	532.55K	0.00%
Jun 19, 2026	1,070.00	1,070.00	1,070.00	1,070.00	975.04K	0.00%
Jun 18, 2026	1,070.00	1,110.00	1,070.00	1,070.00	1.47M	-7.36%
Jun 17, 2026	1,155.00	1,155.00	1,155.00	1,155.00	744.45K	0.00%
Jun 16, 2026	1,155.00	1,155.00	1,155.00	1,155.00	959.25K	0.00%
Jun 15, 2026	1,155.00	1,155.00	1,155.00	1,155.00	636.91K	0.00%
Jun 11, 2026	1,155.00	1,155.00	1,155.00	1,155.00	339.75K	0.00%
Jun 10, 2026	1,155.00	1,155.00	1,155.00	1,155.00	572.97K	0.00%
Jun 09, 2026	1,155.00	1,180.00	1,155.00	1,155.00	1.94M	-2.12%
Jun 08, 2026	1,180.00	1,180.00	1,180.00	1,180.00	756.61K	0.00%
Jun 05, 2026	1,180.00	1,180.00	1,180.00	1,180.00	1.14M	0.00%
Jun 04, 2026	1,180.00	1,180.00	1,180.00	1,180.00	1.13M	0.00%
Jun 03, 2026	1,180.00	1,180.00	1,180.00	1,180.00	622.25K	0.00%
Jun 02, 2026	1,180.00	1,180.00	1,180.00	1,180.00	824.93K	0.00%
Jun 01, 2026	1,180.00	1,180.00	1,180.00	1,180.00	950.64K	0.00%
May 29, 2026	1,180.00	1,180.00	1,180.00	1,180.00	843.91K	0.00%
