WAPCO(CEMENT) HISTORICAL DATA (2018 - 2026)

 DATE            PRICE   OPEN    HIGH    LOW    VOL     CHANGE %
Jul 24, 2026	341.90	349.50	354.00	340.00	1.19M	-2.17% 
Jul 01, 2026	310.00	310.00	310.00	310.00	871.50K	0.00%
Jun 30, 2026	310.00	310.00	310.00	310.00	1.43M	0.00%
Jun 29, 2026	310.00	317.40	310.00	310.00	3.14M	-2.33%
Jun 26, 2026	317.40	317.40	317.40	317.40	1.14M	0.00%
Jun 25, 2026	317.40	317.40	317.40	315.50	7.10M	0.00%
Jun 24, 2026	317.40	317.40	317.40	317.40	3.04M	0.00%
Jun 23, 2026	317.40	316.00	317.40	316.50	5.38M	+0.44%
Jun 22, 2026	316.00	315.10	316.00	316.00	2.81M	+0.29%
Jun 19, 2026	315.10	330.00	315.50	315.10	3.11M	-4.52%
Jun 18, 2026	330.00	330.00	330.00	330.00	3.10M	0.00%
Jun 17, 2026	330.00	330.00	330.00	330.00	2.64M	0.00%
Jun 16, 2026	330.00	330.00	330.00	330.00	914.84K	0.00%
Jun 15, 2026	330.00	330.00	330.00	330.00	1.12M	0.00%
Jun 11, 2026	330.00	328.00	330.00	330.00	2.56M	+0.61%
Jun 10, 2026	328.00	330.00	328.00	328.00	2.77M	-0.61%
Jun 09, 2026	330.00	330.00	330.00	330.00	1.14M	0.00%
Jun 08, 2026	330.00	330.00	330.00	330.00	7.60M	0.00%
Jun 05, 2026	330.00	320.00	330.00	329.90	2.24M	+3.13%
Jun 04, 2026	320.00	307.90	320.00	320.00	1.13M	+3.93%
Jun 03, 2026	307.90	342.00	312.00	307.90	2.89M	-9.97%
Jun 02, 2026	342.00	342.00	342.00	342.00	1.96M	0.00%
Jun 01, 2026	342.00	342.00	342.00	342.00	2.02M	0.00%
May 29, 2026	342.00	342.00	342.00	342.00	2.28M	0.00%
May 26, 2026	342.00	342.00	342.00	342.00	2.20M	0.00%
May 25, 2026	342.00	342.00	342.00	342.00	3.02M	0.00%
May 22, 2026	342.00	342.00	342.00	342.00	2.32M	0.00%
May 21, 2026	342.00	342.00	342.00	342.00	2.10M	0.00%
May 20, 2026	342.00	335.00	342.00	338.90	1.47M	+2.09%
May 19, 2026	335.00	335.00	335.00	335.00	1.71M	0.00%
May 18, 2026	335.00	337.00	335.00	335.00	2.30M	-0.59%
May 15, 2026	337.00	339.10	337.00	337.00	2.04M	-0.62%
May 14, 2026	339.10	340.00	339.10	339.00	3.66M	-0.26%
May 13, 2026	340.00	340.00	340.00	340.00	3.74M	0.00%
May 12, 2026	340.00	341.00	343.00	340.00	6.51M	-0.29%
May 11, 2026	341.00	330.00	352.00	340.00	7.02M	+3.33%
May 08, 2026	330.00	324.00	330.00	324.00	5.03M	+1.85%
May 07, 2026	324.00	341.30	324.00	324.00	6.32M	-5.07%
May 06, 2026	341.30	341.30	341.30	341.30	5.78M	0.00%
May 05, 2026	341.30	349.00	349.00	341.30	19.03M	-2.21%
May 04, 2026	349.00	350.00	349.90	340.00	8.19M	-0.29%
Apr 30, 2026	350.00	349.00	350.00	339.00	15.34M	+0.29%
Apr 29, 2026	349.00	324.50	349.00	324.50	9.42M	+7.55%
Apr 28, 2026	324.50	295.00	324.50	298.00	12.89M	+10.00%
Apr 27, 2026	295.00	294.90	297.00	290.00	9.20M	+0.03%
Apr 24, 2026	294.90	275.00	298.00	288.90	10.92M	+7.24%
Apr 23, 2026	275.00	275.00	275.00	270.50	4.77M	0.00%
Apr 22, 2026	275.00	273.00	283.80	270.00	7.28M	+0.73%
Apr 21, 2026	273.00	249.00	273.00	255.00	13.57M	+9.64%
Apr 20, 2026	249.00	243.00	250.00	249.00	12.90M	+2.47%
Apr 17, 2026	243.00	243.00	243.00	242.00	7.37M	0.00%
Apr 16, 2026	243.00	243.00	243.00	243.00	2.86M	0.00%
Apr 15, 2026	243.00	245.00	250.00	243.00	16.13M	-0.82%
Apr 14, 2026	245.00	233.20	249.90	233.00	13.99M	+5.06%
Apr 13, 2026	233.20	233.20	233.20	233.20	2.68M	0.00%
Apr 10, 2026	233.20	214.90	233.20	218.50	9.18M	+8.52%
Apr 09, 2026	214.90	212.00	214.90	214.90	2.31M	+1.37%
Apr 08, 2026	212.00	215.00	212.00	210.00	5.47M	-1.40%
Apr 07, 2026	215.00	214.00	215.00	215.00	2.66M	-2.27%
Apr 02, 2026	220.00	220.00	220.00	220.00	3.72M	0.00%
Apr 01, 2026	220.00	219.90	220.00	220.00	2.17M	+0.05%
Mar 31, 2026	219.90	216.70	224.00	216.60	7.22M	+1.48%
Mar 30, 2026	216.70	224.00	220.00	215.80	8.46M	-3.26%
Mar 27, 2026	224.00	224.00	224.00	224.00	2.37M	0.00%
Mar 26, 2026	224.00	227.50	224.00	224.00	5.98M	-1.54%
