Feature,Importance
Volume,0.2174840445312324
Daily_Return,0.15540715522411347
SMA_50,0.07219003237470187
EMA_20,0.06758116165626837
Volatility_20,0.06515545667872283
SMA_20,0.05597324247504901
SMA_5,0.055823569144521176
Lag_2,0.05204071752192439
Lag_5,0.04385173009043276
Low,0.04368132221322316
Close,0.04337564650327354
Open,0.04269279720288698
Lag_1,0.04256719445680259
High,0.04217592992684737
