UBA HISTORICAL DATA (2018 - 2026)

  DATE          PRICE   OPEN    HIGH    LOW     VOL      CHANGE % 
Jul 24, 2026	47.95	48.10	49.00	47.05	22.15M	-0.31%
Jul 01, 2026	38.00	38.40	39.25	38.00	7.54M	-1.04%
Jun 30, 2026	38.40	39.50	39.70	37.50	9.69M	-2.78%
Jun 29, 2026	39.50	39.85	39.75	39.00	13.63M	-0.88%
Jun 26, 2026	39.85	39.10	39.85	39.30	8.60M	+1.92%
Jun 25, 2026	39.10	39.80	40.00	39.10	13.33M	-1.76%
Jun 24, 2026	39.80	40.00	40.05	39.80	10.10M	-0.50%
Jun 23, 2026	40.00	40.05	42.00	40.00	30.61M	-0.12%
Jun 22, 2026	40.05	39.50	41.65	39.55	42.89M	+1.39%
Jun 19, 2026	39.50	40.40	40.20	39.50	16.33M	-2.23%
Jun 18, 2026	40.40	41.20	41.20	40.00	19.76M	-1.94%
Jun 17, 2026	41.20	41.40	41.20	41.05	9.88M	-0.48%
Jun 16, 2026	41.40	43.00	43.00	41.35	8.70M	-3.72%
Jun 15, 2026	43.00	43.00	43.10	42.50	22.79M	0.00%
Jun 12, 2026	43.00	43.10	43.00	43.00	106.98M	0.00%
Jun 11, 2026	43.00	43.10	43.25	43.00	106.98M	-0.23%
Jun 10, 2026	43.10	43.30	43.50	43.00	23.23M	-0.46%
Jun 09, 2026	43.30	43.50	43.65	43.25	19.61M	-0.46%
Jun 08, 2026	43.50	43.60	44.85	43.50	16.55M	-0.23%
Jun 05, 2026	43.60	43.30	43.70	43.20	9.81M	+0.69%
Jun 04, 2026	43.30	43.10	43.70	43.20	8.97M	+0.46%
Jun 03, 2026	43.10	44.50	44.10	43.00	24.45M	-3.15%
Jun 02, 2026	44.50	44.30	44.95	44.30	16.91M	+0.45%
Jun 01, 2026	44.30	44.50	44.95	44.20	76.40M	-0.45%
May 29, 2026	44.50	44.25	44.95	44.15	15.03M	+0.79%
May 26, 2026	44.15	44.60	44.95	43.55	17.06M	-1.01%
May 25, 2026	44.60	45.00	44.95	44.55	10.30M	-0.89%
May 22, 2026	45.00	44.80	45.00	44.10	17.71M	+0.45%
May 21, 2026	44.80	45.05	45.30	44.35	11.33M	-0.55%
May 20, 2026	45.05	44.95	45.45	44.55	20.48M	+0.22%
May 19, 2026	44.95	43.75	45.00	43.70	25.24M	+2.74%
May 18, 2026	43.75	44.00	44.95	43.50	64.97M	-0.57%
May 15, 2026	44.00	43.70	44.50	43.70	61.60M	+0.69%
May 14, 2026	43.70	43.80	44.05	43.00	44.86M	-0.23%
May 13, 2026	43.80	43.80	44.40	43.80	74.98M	0.00%
May 12, 2026	43.80	42.30	45.50	41.00	207.08M	+3.55%
May 11, 2026	42.30	40.00	43.00	40.50	38.32M	+5.75%
May 08, 2026	40.00	40.00	40.25	39.95	96.15M	0.00%
May 07, 2026	40.00	41.00	41.00	39.95	50.20M	-2.44%
May 06, 2026	41.00	42.00	42.00	40.55	38.25M	-2.38%
May 05, 2026	42.00	42.80	43.00	41.90	38.51M	-1.87%
May 04, 2026	42.80	42.75	44.00	42.50	32.11M	+0.12%
Apr 30, 2026	42.75	44.00	44.30	42.55	88.99M	-2.84%
Apr 29, 2026	44.00	41.00	45.85	41.00	160.61M	-1.23%
Apr 28, 2026	44.55	44.55	44.55	44.55	28.41M	-10.00%
Apr 27, 2026	49.50	49.50	49.50	49.50	10.53M	-10.00%
Apr 24, 2026	55.00	53.50	55.20	52.80	43.12M	+2.80%
Apr 23, 2026	53.50	53.20	54.40	53.00	37.54M	+0.56%
Apr 22, 2026	53.20	50.20	53.40	49.95	55.26M	+5.98%
Apr 21, 2026	50.20	52.00	52.40	48.50	43.58M	-3.46%
Apr 20, 2026	52.00	48.00	52.65	48.00	52.57M	+8.33%
Apr 17, 2026	48.00	46.00	49.85	45.85	54.59M	+4.35%
Apr 16, 2026	46.00	46.00	46.25	45.90	45.86M	+2.11%
Apr 15, 2026	45.05	46.60	46.50	45.05	49.85M	-3.33%
Apr 14, 2026	46.60	46.60	47.00	46.60	18.09M	0.00%
Apr 13, 2026	46.60	47.00	47.00	46.60	10.80M	-0.85%
Apr 10, 2026	47.00	46.80	47.05	46.80	38.88M	+0.43%
Apr 09, 2026	46.80	45.50	46.90	45.50	29.03M	+2.86%
Apr 08, 2026	45.50	45.00	46.40	45.05	33.83M	+1.11%
Apr 07, 2026	45.00	45.90	46.00	43.20	42.21M	-2.07%
Apr 06, 2026	45.95	46.15	45.95	45.95	20.94M	0.00%
Apr 02, 2026	45.95	46.15	46.40	45.95	20.94M	-0.43%
Apr 01, 2026	46.15	46.40	46.85	45.95	34.78M	-0.54%
Mar 31, 2026	46.40	46.75	46.75	46.00	15.80M	-0.75%
Mar 30, 2026	46.75	46.70	47.00	46.60	13.05M	+0.11%
Mar 27, 2026	46.70	46.75	46.85	46.65	17.65M	-0.11%
Mar 26, 2026	46.75	47.20	47.45	46.75	18.12M	-0.95%
Mar 25, 2026	47.20	47.90	48.40	47.20	14.61M	-1.46%
Mar 24, 2026	47.90	48.40	48.40	47.90	119.05M	-1.03%
Mar 23, 2026	48.40	48.75	50.00	48.40	114.17M	-0.72%
Mar 18, 2026	48.75	50.90	50.90	48.10	26.95M	-4.22%
Mar 17, 2026	50.90	48.00	51.00	48.00	98.44M	+6.04%
Mar 16, 2026	48.00	45.50	48.00	45.50	54.56M	+5.49%
Mar 13, 2026	45.50	45.90	46.00	45.50	14.05M	-0.87%
Mar 12, 2026	45.90	46.10	47.00	45.90	12.32M	-0.43%
Mar 11, 2026	46.10	46.45	46.50	46.00	18.84M	-0.75%
Mar 10, 2026	46.45	47.00	47.00	46.00	12.52M	-1.17%
Mar 09, 2026	47.00	47.60	48.50	47.00	16.89M	-1.26%
Mar 06, 2026	47.60	47.65	47.80	47.60	11.67M	-0.10%
Mar 05, 2026	47.65	47.60	47.80	47.55	18.08M	+0.11%
Mar 04, 2026	47.60	47.05	47.60	47.20	29.72M	+1.17%
Mar 03, 2026	47.05	47.20	48.00	47.00	37.45M	-0.32%
Mar 02, 2026	47.20	48.80	48.95	47.00	43.02M	-3.28%
Feb 27, 2026	48.80	47.05	49.00	47.05	14.66M	+2.95%
Feb 26, 2026	47.40	48.95	48.95	47.05	25.54M	-3.27%
Feb 25, 2026	49.00	50.20	50.30	47.80	52.31M	-2.39%
Feb 24, 2026	50.20	49.50	50.40	49.65	43.86M	+1.41%
Feb 23, 2026	49.50	49.00	49.75	49.00	33.82M	+1.02%
Feb 20, 2026	49.00	48.00	49.40	48.30	24.34M	+2.08%
Feb 19, 2026	48.00	47.00	48.25	47.55	13.15M	+2.13%
Feb 18, 2026	47.00	46.30	47.20	46.70	17.71M	+1.51%
Feb 17, 2026	46.30	49.55	49.95	46.30	36.51M	-6.56%
Feb 16, 2026	49.55	48.30	50.00	48.50	35.25M	+2.59%
Feb 13, 2026	48.30	47.50	48.90	47.70	25.38M	+1.68%
Feb 12, 2026	47.50	46.10	47.50	46.10	20.07M	+1.06%
Feb 11, 2026	47.00	46.05	47.00	46.05	17.33M	+2.06%
Feb 10, 2026	46.05	44.80	46.95	44.90	18.43M	+2.79%
Feb 09, 2026	44.80	44.20	44.80	44.20	12.40M	+1.36%
Feb 06, 2026	44.20	44.15	44.50	44.05	18.82M	+0.11%
Feb 05, 2026	44.15	44.05	44.90	43.95	10.64M	+0.23%
Feb 04, 2026	44.05	43.00	44.30	43.00	13.93M	+2.44%
Feb 03, 2026	43.00	44.30	44.30	42.95	14.97M	-2.93%
Feb 02, 2026	44.30	44.30	44.60	43.90	13.42M	0.00%
Jan 30, 2026	44.30	44.50	44.60	44.10	13.15M	-0.45%
Jan 29, 2026	44.50	44.50	45.80	44.50	11.61M	0.00%
Jan 28, 2026	44.50	44.85	45.30	44.50	8.92M	-0.78%
Jan 27, 2026	44.85	44.50	45.00	44.50	6.15M	+0.79%
Jan 26, 2026	44.50	43.90	44.90	44.00	6.19M	+1.37%
Jan 23, 2026	43.90	44.50	44.55	43.90	6.95M	-1.35%
Jan 22, 2026	44.50	44.90	45.00	44.00	8.57M	-0.89%
Jan 21, 2026	44.90	45.00	44.95	44.70	7.72M	-0.22%
Jan 20, 2026	45.00	45.20	45.20	45.00	9.85M	-0.44%
Jan 19, 2026	45.20	45.20	45.55	45.20	15.39M	0.00%
Jan 16, 2026	45.20	45.00	45.95	45.20	4.60M	+0.44%
Jan 15, 2026	45.00	45.20	45.70	45.00	18.25M	-0.44%
Jan 14, 2026	45.20	45.95	45.75	45.00	10.47M	-1.63%
Jan 13, 2026	45.95	44.00	45.95	44.60	8.70M	+4.43%
Jan 12, 2026	44.00	44.00	44.40	44.00	14.05M	0.00%
Jan 09, 2026	44.00	44.30	44.50	43.60	16.72M	-0.68%
Jan 08, 2026	44.30	43.90	44.80	43.10	12.22M	+0.91%
Jan 07, 2026	43.90	43.00	44.00	43.00	8.00M	+2.09%
Jan 06, 2026	43.00	45.85	46.60	43.00	17.99M	-6.22%
Jan 05, 2026	45.85	43.00	46.00	44.00	9.79M	+6.63%
Jan 02, 2026	43.00	41.65	43.00	42.10	4.34M	+3.24%
Dec 31, 2025	41.65	40.85	41.70	41.00	5.33M	+1.96%
Dec 30, 2025	40.85	41.00	42.00	40.85	7.81M	-0.37%
Dec 29, 2025	41.00	42.00	41.95	41.00	11.64M	-2.38%
Dec 24, 2025	42.00	39.40	42.00	39.10	7.20M	+6.60%
Dec 23, 2025	39.40	39.00	39.50	39.00	7.49M	+1.03%
